Extractor,Dataset,Sample Size,CLIP Score (μ±σ),BERT F1 (μ±σ),ROUGE-1 F1 (μ±σ),ROUGE-2 F1 (μ±σ),BRISQUE (μ±σ),Bias Rate (%)
YAKE,ALL STORIES,25,0.2750 ± 0.0179,0.4246 ± 0.0385,0.1596 ± 0.0290,0.0332 ± 0.0273,8.0924 ± 4.9074,24.0%
KEYBERT,ALL STORIES,25,0.2902 ± 0.0219,0.3972 ± 0.0322,0.1596 ± 0.0290,0.0055 ± 0.0094,9.0907 ± 4.5387,16.0%
SIMPLE,ALL STORIES,25,0.2645 ± 0.0227,0.4202 ± 0.0446,0.1624 ± 0.0295,0.0062 ± 0.0114,9.4593 ± 3.7994,4.0%
YAKE,The Adventures of The Lion And,5,0.2670 ± 0.0218,0.4283 ± 0.0342,0.1799 ± 0.0204,0.0418 ± 0.0126,3.4117 ± 5.9471,0.0%
KEYBERT,The Adventures of The Lion And,5,0.2745 ± 0.0214,0.3992 ± 0.0357,0.1799 ± 0.0204,0.0000 ± 0.0000,2.5138 ± 3.8305,0.0%
SIMPLE,The Adventures of The Lion And,5,0.2435 ± 0.0248,0.3957 ± 0.0389,0.1799 ± 0.0204,0.0000 ± 0.0000,4.6917 ± 1.7930,0.0%
YAKE,The Tale of Goodnight Moon,5,0.2855 ± 0.0112,0.4301 ± 0.0378,0.1616 ± 0.0221,0.0255 ± 0.0198,10.0349 ± 5.1653,0.0%
KEYBERT,The Tale of Goodnight Moon,5,0.2881 ± 0.0226,0.4025 ± 0.0139,0.1616 ± 0.0221,0.0115 ± 0.0107,10.7210 ± 1.9476,20.0%
SIMPLE,The Tale of Goodnight Moon,5,0.2775 ± 0.0206,0.4187 ± 0.0339,0.1656 ± 0.0271,0.0121 ± 0.0196,10.5055 ± 4.4733,0.0%
YAKE,The Tale of Snow White,5,0.2806 ± 0.0233,0.4531 ± 0.0271,0.1733 ± 0.0298,0.0532 ± 0.0364,9.7924 ± 3.2731,80.0%
KEYBERT,The Tale of Snow White,5,0.3035 ± 0.0129,0.4014 ± 0.0369,0.1733 ± 0.0298,0.0058 ± 0.0130,13.4990 ± 2.7330,60.0%
SIMPLE,The Tale of Snow White,5,0.2663 ± 0.0183,0.4687 ± 0.0408,0.1768 ± 0.0283,0.0040 ± 0.0089,10.9483 ± 4.5962,20.0%
YAKE,The Tale of The Giving Tree,5,0.2651 ± 0.0167,0.3899 ± 0.0302,0.1250 ± 0.0240,0.0150 ± 0.0161,6.5265 ± 2.2660,0.0%
KEYBERT,The Tale of The Giving Tree,5,0.2803 ± 0.0230,0.3665 ± 0.0269,0.1250 ± 0.0240,0.0103 ± 0.0096,8.7163 ± 2.7770,0.0%
SIMPLE,The Tale of The Giving Tree,5,0.2689 ± 0.0216,0.3944 ± 0.0193,0.1284 ± 0.0291,0.0068 ± 0.0094,9.8551 ± 2.0411,0.0%
YAKE,The Tale of The Three Little Pigs,5,0.2769 ± 0.0106,0.4214 ± 0.0453,0.1580 ± 0.0201,0.0306 ± 0.0355,10.6967 ± 4.3980,40.0%
KEYBERT,The Tale of The Three Little Pigs,5,0.3048 ± 0.0172,0.4166 ± 0.0312,0.1580 ± 0.0201,0.0000 ± 0.0000,10.0033 ± 2.6558,0.0%
SIMPLE,The Tale of The Three Little Pigs,5,0.2664 ± 0.0212,0.4234 ± 0.0516,0.1613 ± 0.0180,0.0082 ± 0.0113,11.2958 ± 1.0633,0.0%
